Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-12-11 05:12:02,false,"Quan Thanh Khe - 4 miles","5.33","316","00:54:48","127","150","2.5","94","248","10:17","7:23","3","8","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","03:33.69","7","31.0","00:53:57","00:54:48","-158","-151"
Cycling,2023-12-03 14:31:26,false,"Quan Thanh Khe Cycling","32.24","602","01:37:32","135","155","2.8","--","--","19.8","27.3","61","69","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","07:28.88","7","31.0","01:36:57","01:44:14","-124","-114"
Yoga,2023-11-28 06:10:46,false,"Yoga","0.00","66","00:16:11","104","150","0.5","--","--","0.0","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","16:10.76","1","30.0","00:00:00","00:16:11","--","--"
Running,2023-11-28 05:13:45,false,"Quan Thanh Khe - Easy Run","5.14","314","00:45:00","142","158","3.2","155","180","8:46","6:54","2","7","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","03:42.87","7","29.0","00:44:29","00:45:00","-71","-63"
Yoga,2023-11-26 17:40:48,false,"Yoga","0.00","106","00:16:50","126","139","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","16:50.16","1","32.0","00:00:00","00:16:50","--","--"
Running,2023-11-26 16:16:00,false,"Quan Thanh Khe - Easy Long Run","9.16","591","01:23:27","163","183","4.4","153","238","9:07","7:07","7","14","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","02:51.61","11","31.0","01:21:49","01:23:27","-54","-50"
Yoga,2023-11-22 06:09:15,false,"Yoga","0.00","69","00:14:29","110","123","0.7","--","--","0.0","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","14:29.37","1","31.0","00:00:00","00:14:29","--","--"
Running,2023-11-22 05:11:40,false,"Quan Thanh Khe - Progression Run","5.85","358","00:50:00","148","172","3.6","163","186","8:33","6:33","2","11","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","02:30.66","8","30.0","00:49:46","00:50:00","-47","-36"
Yoga,2023-11-21 06:03:34,false,"Yoga","0.00","70","00:15:06","109","127","0.8","--","--","0.0","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","15:05.99","1","30.0","00:00:00","00:15:06","--","--"
Running,2023-11-21 05:12:40,false,"Quan Thanh Khe - Easy Run","5.07","306","00:45:00","147","165","3.2","154","180","8:53","7:30","2","11","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","03:27.38","7","29.0","00:44:59","00:45:00","-35","-24"
Yoga,2023-11-19 16:05:37,false,"Yoga","0.00","86","00:16:18","116","140","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","16:17.73","1","31.0","00:00:00","00:16:18","--","--"
Running,2023-11-19 14:57:42,false,"Quan Thanh Khe - Goal Pace Repeat","5.93","391","00:52:30","159","179","4.6","157","186","8:51","6:15","4","5","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","00:30.00","20","30.0","00:52:17","00:52:30","-10","-6"
Yoga,2023-11-18 06:15:20,false,"Yoga","0.00","111","00:26:42","105","141","1.1","--","--","0.0","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","26:41.51","1","28.0","00:00:00","00:26:42","--","--"
Running,2023-11-18 05:27:54,false,"Quan Thanh Khe - Easy Run","5.01","306","00:45:00","150","173","3.4","151","182","8:59","7:30","1","9","0.83","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","03:19.89","7","29.0","00:44:17","00:45:00","-71","-62"
